Epoch,Total Event,Max,Min,Mean,Std Dev
557,10,1,1,1.000000,0.000000
558,10,1,1,1.000000,0.000000
559,10,1,1,1.000000,0.000000
560,10,1,1,1.000000,0.000000
561,16,3,1,1.600000,0.966092
562,10,1,1,1.000000,0.000000
563,10,1,1,1.000000,0.000000
564,10,1,1,1.000000,0.000000
565,10,1,1,1.000000,0.000000
566,9,1,0,0.900000,0.316228
567,6,1,0,0.600000,0.516398
568,6,1,0,0.600000,0.516398
569,5,1,0,0.500000,0.527046
570,7,1,0,0.700000,0.483046
571,7,1,0,0.700000,0.483046
572,6,1,0,0.600000,0.516398
573,6,1,0,0.600000,0.516398
574,3,1,0,0.300000,0.483046
575,3,1,0,0.300000,0.483046
576,2,1,0,0.200000,0.421637
577,1,1,0,0.100000,0.316228
578,1,1,0,0.100000,0.316228
